subject,first_message,actual_label,predicted_label,match,potential_mislabel
37892358: Re: Bestelling #19503 bevestigd,"Hallo, 
Ik heb op zaterdag 17/01/26, mijn bestelling goed ontvangen. 
Ik heb een probleem met de bestelling in verband met de maat. 
Ik heb voor mijn Cocker spaniël, dezelfde maat besteld dan vorige k",Return Order,Wrong Order,False,True
37889905: Bestelling volgen,"Bestelling volgen
-------------------------------
wanneer kan ik mijn bestelling verwachten .?",Order Delay,Order Delay,True,False
37875888: Bestelstatus - Mivero (nl-NL),Op 4 januari heb ineen product besteld `stond op voorraad en er is nog steeds niets geleverd bestelnummer 19422,Order Delay,Order Delay,True,False
37875328: Productvraag,"Productvraag
-------------------------------
ik heb een grote teckel. En vraag me af welke maat van deze mand ik nodig heb. Vind het een beetje onduidelijk. ",Product Question,Product Question,True,False
37874812: ,"Beste Heer/Mevrouw, 

Kunt u laten weten wanneer de bestelling geleverd gaat worden? 

Met vrg. 

Mineke Storck",Order Delay,Order Delay,True,False
37871447: Probleem rapporteren,"Probleem rapporteren
-------------------------------
Ik heb 2 bestellingen geplaatst op 5 en 6 januari  met een bedrag van 39.95 en van 34.95 euro.van het ene heb ik een order#18923 gekregen het ander",Order Delay,Order Delay,True,False
37869063: Autoriem,"Ik heb zojuist een riem besteld 

Wanneer kan die bij mij zijn? 
Groet Carin",Cancel Order,Shipping Question,False,True
"Re: 37867582: Re: Voltooi je Bestelling Vandaag, Christiane! 👀","Bestelling mag je annuleren. 
 
 
 Verzonden vanaf Outlook voor Android (https://aka.ms/AAb9ysg) From: Info | Mivero <info@mivero.nl> Sent: Monday, January 19, 2026 7:49:59 PM To: Christiane Martens <",Cancel Order,Cancel Order,True,False
37858208: Pakket niet ontvangen,"Goedendag, 
7 januari heb ik een bestelling bij jullie gedaan. Het gaat om pakketnummer #19691. 
Ik heb het een paar keer proberen te volgen. Eerst was het onderweg uit China. Nu is het track en trace",Order Delay,Lost Order,False,True
37854200: Re: Jouw bestelling is verzonden!,"Goedemorgen 

Mijn pakket is nog steeds niet aangekomen 

Ik hoor graag 
Grt Claudia Smit 
Op 11 jan 2026 om 14:00 heeft Mivero <info@mivero.nl> het volgende geschreven: 

﻿ Je bestelling is onderweg ",Order Delay,Order Delay,True,False
37849837: Re: Jouw bestelling is verzonden!,"Goedemorgen, 

Hebben jullie enig idee wanneer ik mijn bestelling mag ontvangen? 
Ik krijg steeds mails van jullie om een revieuw te plaatsen maar dat kan ik nog niet omdat ik dit nog steeds niet heb ",Order Delay,Order Delay,True,False
37778472: Re: Jouw bestelling is verzonden!,"Dag, 
Deze bestelling en de andere is niet aangekomen. Ik zou deze graag alsnog ontvangen. 
Mvg, 
Annemarie kerkhoven 

Verstuurd vanaf mijn iPhone 
Op 9 jan 2026 om 21:52 heeft Mivero <info@mivero.nl",Order Delay,Lost Order,False,True
37762951: Re: Bestelling #19948 bevestigd,"Aangezien er niet aangegeven wird wanneer ik de bestelling in huis heb wul ik dat toch graag even weten. 
Mvg mevr ter welle 

Op ma 19 jan. 2026 20:25 schreef Mivero < info@mivero.nl>: (mailto:info@m",Cancel Order,Order Delay,False,True
37752455: Re: retour Bestelling #19143 en 19145,"Beste, 
ik zou de artikels met bestelnummers 19143 en 19145 willen retourneren. Ze werden op 8 januari geleverd. 
Kan u mij de nodige gegevens bezorgen, opdat ik ze kan terugsturen? 
Alvast bedankt; m",Return Order,Return Order,True,False
37740536: Retour zenden bestelling nr 19483,"Goedenavond, 

Graag willen ik bestelling 19483 retourneren. Dit betreft een PawShield hondenwinterjas. 

Inmiddels hebben wij een nieuwe besteld, groter en een andere kleur. 

Kunt u mij het retour a",Return Order,Return Order,True,False
37737786: Re: Jouw bestelling is verzonden!,"Waar blijft mijn bestelling? 

Op do 15 jan 2026 om 01:19 schreef Mivero < info@mivero.nl> (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/_t/c/v3/AABb_pF_eD9El2wRvdQXRW6tpFP6",Order Delay,Order Delay,True,False
37729987: Nieuw klantbericht op 19 januari 2026 om 18:23,"Nieuw klantbericht op 19 januari 2026 om 18:23   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: An Molema 
 E-mail: anmolema@hotmail.com 
 Ph",Order Delay,Cancel Order,False,True
37701628: Nieuw klantbericht op 19 januari 2026 om 15:05,"Nieuw klantbericht op 19 januari 2026 om 15:05   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Patricia de Veth- Verbruggen 
 E-mail: patric",Order Delay,Order Delay,True,False
37686833: Bestelling #19664,"Beste medewerker,

Al even geleden heb ik een bestelling geplaatst. Ik heb de tracking ontvangen, maar kan nergens vinden wanneer het pakket ongeveer aankomt. Het duurt wel erg lang en heb geen upda",Order Delay,Order Delay,True,False
37660893: Productvraag,"Productvraag
-------------------------------
Krijg ik 8 sokken toegestuurd als ik 2 stuks bestel van de steadypaws. Kan je me ook meedelen hoe vlug ik deze kan bekomen want ik woon in België",Order Delay,Product Question,False,True
37653508: Nieuw klantbericht op 19 januari 2026 om 09:36,"Nieuw klantbericht op 19 januari 2026 om 09:36   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Isabel Courtin 
 E-mail: isabel.courtin@hotma",Order Delay,Order Delay,True,False
37647666: Re: Jouw bestelling is verzonden!,"Hallo.wanneer wordt dit product bezorgd. 

Groet kees olinga 

Op ma 12 jan 2026, 11:55 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/_t/c/",Order Delay,Order Delay,True,False
"37619843: Re: Bestelling #18928, is alles naar wens?","Op zo 18 jan 2026 om 17:50 schreef Mivero <no-reply@loox.io> 

Hallo Theo,  Vertel ons wat je vindt van het product en hoe je ervaring was. Je helpt zon ons en andere webshop bezoekers! Kost slechts w",Lost Order,Order Delay,False,True
37605964: Nieuw klantbericht op 18 januari 2026 om 19:25,"Nieuw klantbericht op 18 januari 2026 om 19:25   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Birgit Gilen 
 E-mail: birgt.gilen@gmail.com ",Product Question,Product Question,True,False
37587065: Retour sturen artikel bestelling BESTEL#19587,"Goede middag, Wil graag het artikel “winter hondenjas” van bestelling BESTEL#19587 retour sturen. 
Graag van u het adres waar dit naar toe gestuurd kan worden. Met vriendelijke groet, Adrie Markus",Return Order,Return Order,True,False
37570741: Bestel #19858,"Goedendag, 

Ik probeer de link om de bestelling te volgen te openen maar krijg een foutmelding. 
Kunt u aangeven wat ongeveer de levertijd is en met welke organisatie het bezorgt wordt. 

Met virende",Order Delay,Order Delay,True,False
37563346: Retour,"Beste 
 
Het jasje dat ik bij jullie bestelde (bestel #18596) is helaas te kort voor mijn hondje. Ik zou het dus graag retourneren. 
 
Kunnen jullie mij de nodige gegevens bezorgen? 
 
Met vriendelijk",Return Order,Return Order,True,False
37546250: Nieuw klantbericht op 18 januari 2026 om 02:04,"Nieuw klantbericht op 18 januari 2026 om 02:04   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Jacqueline Bijkerk 
 E-mail: nbijkerk2009@liv",Return Order,Return Order,True,False
37526345: RE: Bestelling #19393 bevestigd,"Hallo, 

Ik heb deze jasjes besteld volgens de maat tabel en toch zijn ze veel te klein. Hoe kan ik deze retour zenden en mijn geld terug krijgen? 

Ik hoor het graag. 

Met vriendelijke groet, 
Miran",Return Order,Return Order,True,False
37518935: Re: Jouw bestelling is verzonden!,"Hii!! I didn’t receive my order yet ?? 

On Mon, Jan 12, 2026 at 07:23 Mivero < info@mivero.nl> wrote: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/_t/c/v3/AABmxT23mt6grBIc",Order Delay,Order Delay,True,False
37518200: Productvraag,"Productvraag
-------------------------------
SteadyPaws - Antislip Honden Gripsokken Zijn deze sokken per stuk of per 2sokken L & R of zijn het er 4 voor-achterpoten",Product Question,Product Question,True,False
37515499: Anulatie bestelnummer 19866,"Beste ,

gelieve de bestelling van vandaag , zaterdag 17/01/2026 om 11u38 met bestelnummer 19866 asap te anuleren !

Met vriendelijke groeten ,

Van Steenberge Johan

Trptstraat 2A

9550 Her",Cancel Order,Cancel Order,True,False
37515018: Een beetje klein - Mivero (nl-NL),Een beetje klein,Return Order,Bad Product Quality,False,True
37511711: Retourneren,"Goedemiddag,

Is het mogelijk om de bestelling Zenvana grasachtige toiletmat terug te sturen? Ivm privé omstandigheden 😢
Graag hoor ik een reactie van U 🙏🏼


Groetjes, Monique",Return Order,Return Order,True,False
37509221: Retourneren hondentuigje bestelnr 19627,"Beste mensen,ik heb per ongeluk een te kleine maat besteld en thuis ontvangen . Het bestelnummer was 19627. Ik bestel meteen een grotere maat. Kan ik het tuigje terugsturen en het hiervoor betaalde ge",Return Order,Return Order,True,False
37507287: Re: Belangrijk nieuws over je bestelling #18932,"Beste, 

Ik heb dit al ontvangen. 

Op za 17 jan 2026 om 15:23 schreef Info | Mivero < info@mivero.nl> (mailto:info@mivero.nl) 
 
Deze e-mail bevat informatie over je bestelling ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏",Other,Other,True,False
37506064: Mivero BESTEL #19552,"Goedemiddag, 

Vandaag ontving ik mijn bestelling. Deze is helaas veel te klein. Daarom graag retour. 
Wat is het adres? 

Lisa van den Berg",Return Order,Return Order,True,False
37504812: Nieuw klantbericht op 17 januari 2026 om 14:48,"Nieuw klantbericht op 17 januari 2026 om 14:48   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Martin Ouwehand 
 E-mail: marton.ouwehand@gma",Other,Order Delay,False,True
37501902: Retour  Bestel #19606,"Beste Mivero, 
 
Helaas moet ik mijn bestelling retour sturen. 
De Honden winterjas is helaas te klein. 
Graag verneem ik van u een retouradres zodat ik het terug kan sturen. 
 
Bestel #19606 
PawShie",Return Order,Return Order,True,False
37492958: Mand,"Hallo 

Ik heb vandaag mijn pakketje binnen gehad maar de mand is te klein. 
Is het mogelijk deze terug te sturen en hem dan groter te krijgen? 

Met vriendelijke groet 
Bianca Van Winkel",Return Order,Return Order,True,False
37492769: ,"Goedendag 

Ik heb bij jullie 14 januari wat besteld en heb een track en trace gekregen. Die werkt niet, ik wil graag weten wanneer mijn pakketje komt. 

Met vriendelijke groet, 
Cor Zellmann",Order Delay,Order Delay,True,False
37491417: Pakketje nog niet ontvangen,"Goedemorgen, 
Helaas heb ik mijn bestelling nog niet ontvangen. 
Houten man met hond. 
Graag uw reactie 

Marja Lelieveld",Order Delay,Order Delay,True,False
37490115: Bestelling #19100,"Beste 
 
Ik wens de bestelling met nummer #19100 te retourneren. 
Graag jullie instructies voor de retour. 
 
Met vriendelijke groeten 
 
 
 
Wouter 
D'hont 
Service Engineer | Shareholder 
BE 0829.33",Return Order,Return Order,True,False
37485254: Re: Bedankt voor je bericht – we nemen zo snel mogelijk contact op,"Beste, 

Dit is het tweede mailtje dat ik verstuur en op de eerste geen reactie gehad. Ik wil mijn pakketje met bovenstaand bestellingsnummer terugsturen. Graag jullie reactie! 

Mvg Kim Budding
",Return Order,Return Order,True,False
37457441: CozyCave - Warme Knusse Huisdierenmand × 1,"Beste, 
 
Graag zouden wij willen weten waar deze bestelling blijft. Het betreft bestelling  #19355. 
 
Het beertje is binnen, maar de mand nog steeds niet en het tracking nummer doet niet. 
 
Graag h",Order Delay,Order Delay,True,False
37450550: Een probleem melden - Mivero (nl-NL),"Goeiendag, tot de dag van vandaag heb ik mijn bestelling niet ontvangen, gelieve om terugbetaling.",Order Delay,Order Delay,True,False
37449283: Bestelling #19456,"Geachte heer, mevrouw, 

Hierbij informeer ik u dat het jasje helaas te klein is en dat ik hem retour naar u zal verzenden. 

Met vriendelijke groet, 

Trudy Hengeveld",Return Order,Return Order,True,False
37425200: Re: Een korting als bedankje! 🎁,"Dag Emma van Team Mivero, 

Ik heb mijn bestelling: 19604 , rode hondenjas, XL, nog steeds niet binnen. 

Kun jij achterhalen wat er mis is gegaan? 

Hartelijk dank alvast voor je reactie. 

Met vrien",Order Delay,Order Delay,True,False
37422220: Productvraag,"Productvraag
-------------------------------
Ik heb een border collie x friese stabij maar ik vraag me af of ik beter de xl of de l kan nemen voor een gentle leader. Ik heb er nu 1 van een ander merk ",Product Question,Product Question,True,False
37394616: Retour 19437,"Ik wil deze bestelling graag retourneren omdat het te klein is.
Kan ik het ruilen voor een 2xXL
Mvg. Lucie
Verstuurd vanaf mijn iPhone
",Return Order,Return Order,True,False
37393827: Re: Bestelling #19548 bevestigd,"Goedemiddag. 
Zojuist de hondenmand ontvangen maar helaas veel te klein voor mijn hondje van 3kg. 
Graag wil ik de mand terugsturen. 
Met vriendelijke groet, 
Nathalie Pel 
Verstuurd vanaf mijn iPhone",Return Order,Return Order,True,False
37387356: Bestelstatus - Mivero (nl-NL),Hoi ik kan mij bestelling niet openen op de mail. Het duurt nu best lang. En vraag me af of het nog wel komt.,Order Delay,Order Delay,True,False
37385020: Nieuw klantbericht op 16 januari 2026 om 11:20,"Nieuw klantbericht op 16 januari 2026 om 11:20   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: ANNICK Van Sande 
 E-mail: annickvansande@tel",Return Order,Return Order,True,False
37381228: Nieuw klantbericht op 16 januari 2026 om 10:55,"Nieuw klantbericht op 16 januari 2026 om 10:55   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: L.C Van Eijck 
 E-mail: bartjetimmer@home.nl ",Order Delay,Order Delay,True,False
37369181: Re: Bestelling #19588 bevestigd,"Hallo Mivero 

Ik wacht op onderstaand pakket. 
De link met track andbtrace werkt niet kunnen jullie de status delen? 

Groet 

Op wo 7 jan 2026, 18:14 schreef Mivero < info@mivero.nl>: (mailto:info@m",Order Delay,Order Delay,True,False
37357554: Re: Jouw bestelling is verzonden!,"Wanneeeeer komt dit aan ? Wacht al lang ! Gr ann 

Verstuurd vanaf mijn iPhone 
0478/57.56.69 
Op 11 jan 2026 om 23:22 heeft Mivero <info@mivero.nl> het volgende geschreven: 

﻿ Je bestelling is onder",Order Delay,Order Delay,True,False
37353726: Re: Een korting als bedankje! 🎁,"Goedemorgen, 
Vorige week heb ik 2 manden besteld, maar tot op heden nog niets ontvangen. 
Hoog graag wanneer deze binnenkomen 
Vriendelijke groet, 
Nicole Laarman 
Verstuurd vanaf mijn iPhone Op 13 j",Order Delay,Order Delay,True,False
37349385: Retour bestelling 19296,"Goedemorgen, 

Ik wil graag de bestelling met nr 19296 retourneren. Het ene jasje is te klein en het andere veel te groot. Graag ontvang ik een retourlabel en een retouradres. Bij voorbaat dank. 

Met",Return Order,Return Order,True,False
37250097: CozyShield niet op voorraad – we lossen het voor je op,"Beste Nanda,

Allereerst hartelijk dank voor je bestelling en het vertrouwen dat je in Mivero stelt.

Tot onze spijt moeten we je laten weten dat het product dat je hebt besteld – de CozyShield honden",Other,Order Delay,False,True
37204438: 19508,"Beste 

Kan u even kijken waar onze bestelling blijft? Bestelnummer in Onderwerp. 

Eveline Ketelbuters 

Verzonden vanaf mijn Galaxy",Order Delay,Order Delay,True,False
37165493: Re: Bestelling #19571 bevestigd,"Co z moim zamówieniem 

śr., 7 sty 2026, 14:33 użytkownik Mivero < info@mivero.nl> napisał: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/_t/c/v3/AAD48RFvJCnNHdgXUG71CF1b4lR",Order Delay,Order Delay,True,False
